vx_target [m/s],vy_target [m/s],opt_score [-],opt_wheelspeed [rad/s],opt_steering_angle [rad],opt_yawrate [rad/s]
6.750000,0.500000,16.016054,107999.999999,0.191532,-0.807820
7.000000,0.500000,16.072703,111999.999998,0.192083,-0.778327
7.250000,0.500000,16.131574,115999.999999,0.192657,-0.750846
7.500000,0.500000,16.192691,119999.999997,0.193327,-0.725172
7.750000,0.500000,16.256079,123999.999999,0.193869,-0.701139
8.000000,0.500000,16.321765,127999.999999,0.194508,-0.678585
8.250000,0.500000,16.389772,131999.999998,0.195167,-0.657378
8.500000,0.500000,16.460127,135999.999999,0.195847,-0.637399
8.750000,0.500000,16.532856,139999.999998,0.196548,-0.618543
9.000000,0.500000,16.607986,144000.000000,0.197270,-0.600716
9.250000,0.500000,16.685546,147999.999998,0.198012,-0.583834
9.500000,0.500000,16.765561,151999.999999,0.198775,-0.567823
9.750000,0.500000,16.848062,155999.999998,0.199557,-0.552616
10.000000,0.500000,16.933077,159999.999997,0.200360,-0.538152
0.250000,0.600000,53.904657,3999.999999,-0.315428,-1.621196
0.500000,0.600000,40.978759,5338.666667,-0.286486,-3.333333
0.750000,0.600000,27.935251,10651.080018,-0.201540,-4.567901
1.000000,0.600000,19.546537,16000.000000,0.036555,-4.266118
1.250000,0.600000,14.344540,19260.740741,0.148028,-4.293553
1.500000,0.600000,14.242533,24000.000000,0.329254,-2.944673
1.750000,0.600000,12.072629,28000.000000,0.335778,-3.333333
2.000000,0.600000,19.795291,31999.999999,0.193163,-2.456704
2.250000,0.600000,19.842345,35999.999999,0.191898,-2.180973
2.500000,0.600000,19.880312,39999.999999,0.191317,-1.961232
2.750000,0.600000,19.914821,43999.999999,0.191043,-1.781731
3.000000,0.600000,19.944793,47999.999999,0.191174,-1.632335
3.250000,0.600000,19.973241,51999.999999,0.191320,-1.506026
3.500000,0.600000,20.003391,55999.999994,0.191512,-1.397735
3.750000,0.600000,20.035401,59999.999999,0.191743,-1.303851
4.000000,0.600000,20.069375,63999.999999,0.192006,-1.221667
4.250000,0.600000,20.105383,67999.999999,0.192299,-1.149118
4.500000,0.600000,20.143478,71999.999999,0.192618,-1.084595
4.750000,0.600000,20.183701,76000.000000,0.192963,-1.026830
5.000000,0.600000,20.226085,80000.000000,0.193331,-0.974810
5.250000,0.600000,20.270659,84000.000000,0.193722,-0.927712
5.500000,0.600000,20.317449,87999.999996,0.194136,-0.884866
5.750000,0.600000,20.366478,92000.000000,0.194572,-0.845715
6.000000,0.600000,20.417769,95999.999998,0.195029,-0.809800
6.250000,0.600000,20.471342,99999.999999,0.195508,-0.776730
6.500000,0.600000,20.527220,103999.999998,0.196007,-0.746177
6.750000,0.600000,20.585422,107999.999998,0.196528,-0.717862
7.000000,0.600000,20.645972,110620.049381,0.197069,-0.691545
7.250000,0.600000,20.708886,115999.999998,0.197630,-0.667019
7.500000,0.600000,20.774190,119999.999999,0.198211,-0.644105
7.750000,0.600000,20.841904,124000.000000,0.198813,-0.622646
8.000000,0.600000,20.912051,127999.999998,0.199435,-0.602507
8.250000,0.600000,20.984654,132000.000000,0.200077,-0.583567
8.500000,0.600000,21.059735,135999.999999,0.200739,-0.565721
8.750000,0.600000,21.137318,139999.999999,0.201420,-0.548874
9.000000,0.600000,21.217429,143999.999998,0.202122,-0.532943
9.250000,0.600000,21.300245,147999.999999,0.201467,-0.517895
9.500000,0.600000,21.385330,151999.999998,0.203584,-0.503541
9.750000,0.600000,21.473173,155999.999998,0.204344,-0.489944
10.000000,0.600000,21.563646,159999.999999,0.205124,-0.477008
0.250000,0.700000,53.524321,4000.000000,-0.293018,-1.751939
0.500000,0.700000,40.442831,7704.203653,-0.257844,-3.602937
0.750000,0.700000,28.072881,12000.000000,-0.073420,-4.380430
1.000000,0.700000,19.979629,16000.000000,0.115983,-4.439872
1.250000,0.700000,17.206459,19999.999999,0.341695,-3.278464
1.500000,0.700000,23.930391,24000.000000,0.199303,-2.910016
1.750000,0.700000,24.001819,28000.000000,0.196653,-2.487067
2.000000,0.700000,11.049475,24903.111111,0.440017,-3.523186
2.250000,0.700000,24.080609,35999.999999,0.195341,-1.930318
2.500000,0.700000,24.112576,39999.999998,0.195175,-1.736098
2.750000,0.700000,24.143757,43999.999999,0.195138,-1.577280
3.000000,0.700000,24.171431,47999.999999,0.195412,-1.445046
3.250000,0.700000,24.199896,51999.999999,0.195613,-1.333171
3.500000,0.700000,24.230371,56000.000000,0.195845,-1.237238
3.750000,0.700000,24.262935,59999.999999,0.196104,-1.154055
4.000000,0.700000,24.297641,63999.999999,0.196388,-1.081229
4.250000,0.700000,24.334527,68000.000000,0.196697,-1.016932
4.500000,0.700000,24.373625,71999.999999,0.197027,-0.959742
4.750000,0.700000,24.414961,75999.999999,0.197380,-0.908535
5.000000,0.700000,24.458557,79999.999999,0.197755,-0.862415
5.250000,0.700000,24.504434,84000.000000,0.198151,-0.820654
5.500000,0.700000,24.552611,88000.000000,0.198567,-0.782658
5.750000,0.700000,24.603105,91999.999999,0.199004,-0.747935
6.000000,0.700000,24.655936,95999.999999,0.199462,-0.716076
6.250000,0.700000,24.711311,100000.000000,0.201467,-0.686686
6.500000,0.700000,24.768675,104000.000000,0.200438,-0.659629
6.750000,0.700000,24.828620,108000.000000,0.200956,-0.634502
7.000000,0.700000,24.890974,111999.999998,0.201495,-0.611144
7.250000,0.700000,24.955753,115999.999998,0.202053,-0.589372
